applied current, measured voltage
0.0, -0.0008317
5e-05, -0.0008314
0.0001, -0.0008323
0.00015000000000000001, -0.0008327
0.0002, -0.000832
0.00025, 0.0005055
0.00030000000000000003, 0.0006749
0.00035, 0.0008589
0.0004, 0.0010744
0.00045000000000000004, 0.0012701
0.0005, 0.0014553
0.00055, 0.0016206
0.0006000000000000001, 0.0017587
0.0006500000000000001, 0.0018695
0.0007, 0.0018846
0.00075, 0.0019078
0.0008, 0.0019307
0.0008500000000000001, 0.0019466
0.0009000000000000001, 0.0019589
0.00095, 0.0019672
0.001, 0.0019707
0.0010500000000000002, 0.001975
0.0011, 0.0019764
0.00115, 0.0019781
0.0012000000000000001, 0.0019791
0.00125, 0.0019794
0.0013000000000000002, 0.0019786
0.00135, 0.0019775
0.0014, 0.0019779
0.0014500000000000001, 0.0019776
0.0015, 0.0019802
0.0015500000000000002, 0.0021831
0.0016, 0.0023033
0.00165, 0.0024053
0.0017000000000000001, 0.0024349
0.00175, 0.0025896
0.0018000000000000002, 0.0026103
0.00185, 0.0027691
0.0019, 0.002789
0.0019500000000000001, 0.0029452
